Date;Time;Serial no.;Vmeasure6;Imeasure6;Temperature,
2015-06-09;17:05:44.130;720510;25.7636;9.47173e-07;31.0,
2015-06-09;17:05:44.323;720510;29.0842;6.64113e-07;31.0,
2015-06-09;17:05:44.527;720510;34.6301;6.70877e-07;31.0,
2015-06-09;17:05:44.739;720510;38.2369;6.71647e-07;31.0,
2015-06-09;17:05:44.943;720510;42.2399;6.80442e-07;31.0,
2015-06-09;17:05:45.134;720510;45.835;6.78332e-07;31.0,
2015-06-09;17:05:45.340;720510;49.4443;6.83045e-07;31.0,
2015-06-09;17:05:45.551;720510;53.4467;6.84862e-07;31.0,
2015-06-09;17:05:45.753;720510;59.0452;6.87681e-07;31.0,
2015-06-09;17:05:45.957;720510;60.6462;6.86557e-07;31.0,
2015-06-09;17:05:46.666;720510;75.865;7.01744e-07;31.0,
2015-06-09;17:05:46.755;720510;79.4752;7.00696e-07;31.0,
2015-06-09;17:05:47.468;720510;92.7144;7.00186e-07;31.0,
2015-06-09;17:05:47.570;720510;94.3211;7.11877e-07;31.0,
2015-06-09;17:05:47.772;720510;98.3098;7.05808e-07;31.0,
2015-06-09;17:05:47.984;720510;103.901;7.04684e-07;31.0,
2015-06-09;17:05:48.182;720510;105.5;7.06517e-07;31.0,
2015-06-09;17:05:48.385;720510;111.497;7.07349e-07;31.0,
2015-06-09;17:05:48.593;720510;115.094;7.13125e-07;31.0,
2015-06-09;17:05:48.787;720510;118.692;7.1291e-07;31.0,
2015-06-09;17:05:48.987;720510;122.68;7.09875e-07;31.0,
2015-06-09;17:05:49.196;720510;126.279;7.15575e-07;31.0,
2015-06-09;17:05:49.405;720510;129.869;7.09522e-07;31.0,
2015-06-09;17:05:49.596;720510;135.472;7.1824e-07;31.0,
2015-06-09;17:05:49.809;720510;139.478;7.21967e-07;31.0,
2015-06-09;17:05:50.001;720510;143.083;7.18948e-07;31.0,
2015-06-09;17:05:50.215;720510;146.697;7.1978e-07;31.0,
2015-06-09;17:05:50.407;720510;150.701;7.2745e-07;31.0,
2015-06-09;17:05:50.611;720510;154.307;7.18439e-07;31.0,
2015-06-09;17:05:50.814;720510;159.917;7.27172e-07;31.0,
2015-06-09;17:05:51.021;720510;163.502;7.23014e-07;31.0,
2015-06-09;17:05:51.229;720510;167.495;7.19979e-07;31.0,
2015-06-09;17:05:51.430;720510;171.095;7.21735e-07;31.0,
2015-06-09;17:05:51.628;720510;175.091;7.1961e-07;31.0,
2015-06-09;17:05:52.310;720510;187.886;7.18131e-07;31.0,
2015-06-09;17:05:52.433;720510;191.883;7.23969e-07;31.0,
2015-06-09;17:05:53.120;720510;205.087;7.29298e-07;31.0,
2015-06-09;17:05:53.256;720510;208.701;7.26202e-07;31.0,
2015-06-09;17:05:53.460;720510;212.316;7.22181e-07;31.0,
2015-06-09;17:05:53.655;720510;216.323;7.28943e-07;31.0,
2015-06-09;17:05:53.858;720510;219.93;7.21826e-07;31.0,
2015-06-09;17:05:54.067;720510;223.542;7.21687e-07;31.0,
2015-06-09;17:05:54.270;720510;229.121;7.22519e-07;31.0,
2015-06-09;17:05:54.464;720510;231.119;7.28296e-07;31.0,
2015-06-09;17:05:54.676;720510;236.711;7.21241e-07;31.0,
2015-06-09;17:05:54.876;720510;240.701;7.26032e-07;31.0,
2015-06-09;17:05:55.071;720510;244.302;7.23844e-07;31.0,
2015-06-09;17:05:55.279;720510;247.899;7.25677e-07;31.0,
2015-06-09;17:05:55.490;720510;253.486;7.20595e-07;31.0,
2015-06-09;17:05:55.681;720510;255.484;7.1947e-07;31.0,
2015-06-09;17:05:55.885;720510;261.081;7.18346e-07;31.0,
2015-06-09;17:05:56.087;720510;264.697;7.22135e-07;31.0,
2015-06-09;17:05:56.298;720510;268.709;7.15018e-07;31.0,
2015-06-09;17:05:56.494;720510;274.322;7.22765e-07;31.0,
2015-06-09;17:05:56.693;720510;275.929;7.22626e-07;31.0,
